year,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1984,7.317,14.562,26.353,41.911,57.158,70.267,78.167,80.827,80.471,77.936,73.642,67.825,61.417,54.718,48.259,42.266,36.822,31.97,27.778,24.29,20.802,17.82,15.528,13.365,11.556,10.023,8.548,7.064,5.755,4.661,3.758,2.982,2.32,1.77,1.167
1985,7.219,14.455,26.442,42.374,58.023,71.505,79.678,82.262,81.369,78.077,73.183,66.993,60.215,53.321,46.809,40.786,35.476,30.756,26.577,23.021,20.138,17.254,14.602,12.518,10.656,9.096,7.653,6.295,5.125,4.155,3.36,2.722,2.194,1.714,1.134
1986,7.306,14.772,27.013,43.219,58.862,72.129,79.963,82.226,81.052,77.285,71.985,65.71,59.12,52.391,46.096,40.309,35.092,30.475,26.322,22.64,19.553,17.033,14.34,11.877,10.033,8.421,6.99,5.707,4.677,3.859,3.182,2.629,2.185,1.769,1.195
1987,7.181,14.657,26.953,43.329,59.113,72.259,79.839,81.772,80.543,76.806,71.385,65.017,58.523,52.054,45.865,40.147,34.924,30.163,25.879,22.002,18.679,15.932,13.55,11.117,9.067,7.569,6.183,4.964,4.001,3.267,2.67,2.184,1.798,1.468,1.015
1988,7.139,14.496,26.43,42.277,57.665,70.574,78.2,80.543,79.921,76.992,72.166,65.896,59.206,52.495,46.093,40.028,34.538,29.61,25.215,21.379,18.105,15.343,12.913,10.807,8.794,7.113,5.783,4.577,3.64,2.938,2.394,1.959,1.61,1.309,0.915
1989,7.544,15.248,27.247,42.722,57.484,69.755,77.288,79.911,79.867,77.746,73.804,68.183,61.596,54.642,47.922,41.517,35.601,30.302,25.604,21.489,18.072,15.223,12.702,10.515,8.727,7.053,5.56,4.364,3.383,2.643,2.083,1.665,1.342,1.074,0.742
1990,7.623,15.446,27.391,42.594,56.788,68.492,75.806,78.478,78.551,76.73,73.245,68.277,62.206,55.404,48.64,42.187,36.228,30.743,25.834,21.511,17.912,14.994,12.443,10.216,8.398,6.95,5.494,4.199,3.25,2.505,1.947,1.536,1.229,0.978,0.67
1991,7.532,15.297,26.833,41.362,54.915,66.127,73.381,76.328,76.911,75.8,73.296,69.364,63.958,57.379,50.657,44.222,38.121,32.29,27.064,22.574,18.758,15.545,12.795,10.441,8.502,6.941,5.561,4.215,3.149,2.404,1.833,1.422,1.122,0.888,0.609
1992,7.485,15.112,26.186,39.918,52.432,62.689,69.861,73.484,74.81,74.374,72.44,69.354,65.147,59.378,52.692,46.075,40.091,34.388,28.943,24.21,20.356,17.019,13.991,11.371,9.179,7.359,5.8,4.453,3.3,2.454,1.88,1.459,1.144,0.893,0.603
1993,7.282,14.646,25.034,37.978,49.715,58.788,65.197,69.121,71.34,71.672,70.384,68.068,65.14,61.246,55.735,49.118,42.864,37.245,31.743,26.257,21.649,17.997,14.711,11.738,9.279,7.313,5.661,4.286,3.206,2.351,1.74,1.344,1.037,0.791,0.522
